species,sal,temp,source,data_original_or_derived_from_plots_figures,location,name,value
Benedenia seriolae,10,18,Ernst et al. 2005,From Figure 3 Ernst et al. 2005,Japan,hatch_success,0
Benedenia seriolae,10,22,Ernst et al. 2005,From Figure 3 Ernst et al. 2005,Japan,hatch_success,0
Benedenia seriolae,10,26,Ernst et al. 2005,From Figure 3 Ernst et al. 2005,Japan,hatch_success,0
Benedenia seriolae,35,30,Ernst raw data,Bseriolae hatching temperature,NA,hatch_success,0
Benedenia seriolae,15,18,Ernst et al. 2005,From Figure 3 Ernst et al. 2005,Japan,time_1st_hatch,10
Benedenia seriolae,15,18,Ernst et al. 2005,From Figure 3 Ernst et al. 2005,Japan,time_last_hatch,10
Benedenia seriolae,15,18,Ernst et al. 2005,From Figure 3 Ernst et al. 2005,Japan,hatch_success,0
Benedenia seriolae,50,26,Ernst et al. 2005,Numerical from Table 1 in Ernst et al. 2005; also shown in Figure 3,Japan,time_1st_hatch,8
Benedenia seriolae,50,26,Ernst et al. 2005,Numerical from Table 1 in Ernst et al. 2005; also shown in Figure 3,Japan,time_last_hatch,8
Benedenia seriolae,50,26,Ernst et al. 2005,Numerical from Table 1 in Ernst et al. 2005; also shown in Figure 3,Japan,hatch_success,4
Benedenia seriolae,20,26,Ernst et al. 2005,Numerical from Table 1 in Ernst et al. 2005; also shown in Figure 3,Japan,time_1st_hatch,6
Benedenia seriolae,20,26,Ernst et al. 2005,Numerical from Table 1 in Ernst et al. 2005; also shown in Figure 3,Japan,time_last_hatch,7
Benedenia seriolae,20,26,Ernst et al. 2005,Numerical from Table 1 in Ernst et al. 2005; also shown in Figure 3,Japan,hatch_success,12
Benedenia seriolae,20,22,Ernst et al. 2005,Numerical from Table 1 in Ernst et al. 2005; also shown in Figure 3,Japan,time_1st_hatch,6
Benedenia seriolae,20,22,Ernst et al. 2005,Numerical from Table 1 in Ernst et al. 2005; also shown in Figure 3,Japan,time_last_hatch,7
Benedenia seriolae,20,22,Ernst et al. 2005,Numerical from Table 1 in Ernst et al. 2005; also shown in Figure 3,Japan,hatch_success,26
Benedenia seriolae,50,22,Ernst et al. 2005,Numerical from Table 1 in Ernst et al. 2005; also shown in Figure 3,Japan,time_1st_hatch,8
Benedenia seriolae,50,22,Ernst et al. 2005,Numerical from Table 1 in Ernst et al. 2005; also shown in Figure 3,Japan,time_last_hatch,10
Benedenia seriolae,50,22,Ernst et al. 2005,Numerical from Table 1 in Ernst et al. 2005; also shown in Figure 3,Japan,hatch_success,44
Benedenia seriolae,20,18,Ernst et al. 2005,Numerical from Table 1 in Ernst et al. 2005; also shown in Figure 3,Japan,time_1st_hatch,9
Benedenia seriolae,20,18,Ernst et al. 2005,Numerical from Table 1 in Ernst et al. 2005; also shown in Figure 3,Japan,time_last_hatch,11
