species,sal,temp,time_1st_hatch,time_last_hatch,time_maturity,source,Data original or derived from plots/figures,location,hatch_success
Benedenia seriolae,10,18,NA,NA,NA,Ernst et al. 2005,From Figure 3 Ernst et al. 2005,Japan,0
Benedenia seriolae,10,22,NA,NA,NA,Ernst et al. 2005,From Figure 3 Ernst et al. 2005,Japan,0
Benedenia seriolae,10,26,NA,NA,NA,Ernst et al. 2005,From Figure 3 Ernst et al. 2005,Japan,0
Benedenia seriolae,35,30,NA,NA,NA,Ernst raw data,Bseriolae hatching temperature,NA,0
Benedenia seriolae,15,18,10,10,NA,Ernst et al. 2005,From Figure 3 Ernst et al. 2005,Japan,0
Benedenia seriolae,50,26,8,8,NA,Ernst et al. 2005,Numerical from Table 1 in Ernst et al. 2005; also shown in Figure 3,Japan,4
Benedenia seriolae,20,26,6,7,NA,Ernst et al. 2005,Numerical from Table 1 in Ernst et al. 2005; also shown in Figure 3,Japan,12
Benedenia seriolae,20,22,6,7,NA,Ernst et al. 2005,Numerical from Table 1 in Ernst et al. 2005; also shown in Figure 3,Japan,26
Benedenia seriolae,50,22,8,10,NA,Ernst et al. 2005,Numerical from Table 1 in Ernst et al. 2005; also shown in Figure 3,Japan,44
Benedenia seriolae,20,18,9,11,NA,Ernst et al. 2005,Numerical from Table 1 in Ernst et al. 2005; also shown in Figure 3,Japan,50
Benedenia seriolae,50,18,13,15,NA,Ernst et al. 2005,Numerical from Table 1 in Ernst et al. 2005; also shown in Figure 3,Japan,51
Benedenia seriolae,35,14,16,19,NA,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 1 in Ernst et al. 2005; from IE poster,Japan,72
Benedenia seriolae,25,22,5,7,NA,Ernst et al. 2005,From Figure 3 Ernst et al. 2005,Japan,72
Benedenia seriolae,35,21,7.5,11.5,20,Tubbs et al. 2005,page 4 in text for time to 1st hatch; time to last hatch taken from Figure on page 5,New Zealand,73
Zeuxapta seriolae,30,31,NA,NA,NA,A Mooney thesis,Numerical from A Mooney thesis,Australia,0
Benedenia seriolae,45,22,6,7,NA,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 3 Ernst et al. 2005,Japan,77
Benedenia seriolae,35,13,20,24,48,Tubbs et al. 2005,page 4 in text for time to 1st hatch; time to last hatch taken from Figure on page 5,New Zealand,78
Benedenia seriolae,25,26,5,6,NA,Ernst et al. 2005,From Figure 3 Ernst et al. 2005,Japan,80
Benedenia seriolae,35,24,5,6,NA,Ernst et al. 2005,From text and Figure 1 in Ernst et al. 2005,Japan,84
Benedenia seriolae,25,18,9,11,NA,Ernst et al. 2005,From Figure 3 Ernst et al. 2005,Japan,84
Benedenia seriolae,45,26,6,8,NA,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 3 Ernst et al. 2005; Ernst poster,Japan,87
Benedenia seriolae,35,18,9,11,NA,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 1 in Ernst et al. 2005; from IE poster,Japan,87
Benedenia seriolae,30,26,5,6,NA,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 3 Ernst et al. 2005; Ernst poster,Japan,88
Benedenia seriolae,30,22,5,6,NA,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 3 Ernst et al. 2005; Ernst poster,Japan,88
Benedenia seriolae,45,18,11,13,NA,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 3 Ernst et al. 2005,Japan,89
