species,temp,sal,longevity,Source
Zeuxapta seriolae,10,40,4.458333333333333,"Allan Mooney, unpublished thesis"
Zeuxapta seriolae,13,40,4.5,"Allan Mooney, unpublished thesis"
Zeuxapta seriolae,16,40,4.708333333333333,"Allan Mooney, unpublished thesis"
Zeuxapta seriolae,19,40,4.083333333333333,"Allan Mooney, unpublished thesis"
Zeuxapta seriolae,22,40,3.6666666666666665,"Allan Mooney, unpublished thesis"
Zeuxapta seriolae,25,40,3.75,"Allan Mooney, unpublished thesis"
Zeuxapta seriolae,28,40,2.5,"Allan Mooney, unpublished thesis"
Neobenedenia girellae,22,35,1.5416666666666667,Brazenor and Hutson 2015
Neobenedenia girellae,22,40,2.0416666666666665,Brazenor and Hutson 2015
Neobenedenia girellae,24,35,0.9166666666666666,Brazenor and Hutson 2015
Neobenedenia girellae,24,40,1.2916666666666667,Brazenor and Hutson 2015
Neobenedenia girellae,26,35,0.7916666666666666,Brazenor and Hutson 2015
Neobenedenia girellae,26,40,1.1666666666666667,Brazenor and Hutson 2015
Neobenedenia girellae,28,35,0.4583333333333333,Brazenor and Hutson 2015
Neobenedenia girellae,28,40,0.4166666666666667,Brazenor and Hutson 2015
Neobenedenia girellae,30,35,0.3333333333333333,Brazenor and Hutson 2015
Neobenedenia girellae,30,40,0.2916666666666667,Brazenor and Hutson 2015
Neobenedenia girellae,32,35,0.3333333333333333,Brazenor and Hutson 2015
Neobenedenia girellae,32,40,0.25,Brazenor and Hutson 2015
Neobenedenia girellae,34,35,0.2916666666666667,Brazenor and Hutson 2015
Neobenedenia girellae,34,40,0.25,Brazenor and Hutson 2015
